DriverOrTeam,Name,Points,Cost
d,max,534,31.6
d,lando,523,27.0
d,charles,447,25.3
d,oscar,444,25.3
d,lewis,375,25.1
d,carlos,347,23
d,george,294,21.7
d,sergio,279,23.1
d,alonso,159,16.4
d,lance,94,14.4
d,ocon,92,12.3
d,nico,91,10.7
d,kev,77,12.4
d,daniric,71,12
d,bottas,47,7.1
d,zhou,43,7.8
d,yuki,43,10.2
d,gasly,34,9.7
d,colapinto,26,6.3
d,albon,13,8.6
t,redbull,1098,29.3
t,mclaren,1096,26.5
t,ferrari,987,24.7
t,mercedes,830,24
t,aston,358,15.6
t,haas,255,11.0
t,rb,204,12.3
t,alpine,186,11.0
t,sauber,105,6.8
t,williams,89,7.0
